Text
"#StopAsianHate 
And stop making excuses for #terrorism https://t.co/1wRige3AfR"
I stand in solidarity with the Asian community. 🖤✊🏾💜#StopAsianHate #StopAsianHateCrimes
#StopAsianHate
@Janabw81 #StopAsianHate
#StopAsianHate
@TheCWSupergirl #StopAsianHate #StopAAPIHate
#StopAsianHate https://t.co/6Cuvxw9Mqq
#StopAsianHate
"enough is enough

#StopAsianHate
#StandForAsians 
#ProtectOurElders 
#StopAsianHateCrimes https://t.co/Yh6qKtHL57"
"Eu espero q o movimento de #StopAsianHate continue crescendo muito nos EUA, pq já passou da hora das pessoas perceberam oq acontece com os asiáticos e seus descendentes fora da Ásia, ainda mais agora em época de pandemia, q pessoas idiotas criaram teorias idiotas sobre o vírus"
Join our #StopAsianHate  fundraising event as a performer or speaker - https://t.co/FMZ8nzjCUH #StopAAPIHate  #StopAsianHateCrimes https://t.co/ck0HPr9VhU
"We are in solidarity with the entire AAPI community and our hearts and prayers go out to all the families affected by these senseless killings.

Xenophobia and White Supremacy must be destroyed.

#StopAsianHate #StopAAPIHate https://t.co/wQQSo8b6uf"
"this is a situation that includes Jaeden and his entire family. It is something horrible and serious.please it cost nothing to give one rt, all my other tweets have more than 100 favs, 
make this one have more. #AsianLivesMatter #AsiansAreHuman #StopAsianHate https://t.co/zyMze52SHS"
#StopAsianHate #AsianLivesMatter https://t.co/ZJnkPJVBmy
WTF is wrong with white men? Maybe we’re coddling them too much. They murder people and the cops say ‘he had a bad day’’. How about the victims?#StopAsianHate
He was a terrorist. #StopAsianHate #StopAAPIHate https://t.co/W6su1D5hDN
"All the racist comments, physical aggression, and murders to hurt the Asian community has to stop.  #StopAsianHate"
#StopAsianHate https://t.co/CjoWBl4ri0
#StopAsianHate I love my Asians!!
"@turbovax this is so painful and horrible to think that someone because of where you come from can hate you and even kill you, we definitely need to do better as a society cus we gain nothing  hating on each other. #StopAsianHate"
#StopAsianHate https://t.co/fBVQdxmBCj
"just bc covid started in wuhan, China, doesn’t mean you have to* dehumanize every Asian you encounter. #StopAsianHate"
"العنصرية ليست رأي، ولن تكون.
#StopAsianHate 
#AsiansAreHuman #RacismIsntComedy"
#StopAsianHate ✊🏽 https://t.co/pqQlcayhfo
#StopAAPIHate #StopAsianHate https://t.co/sztoBmm2QQ
@jilevin #StopAsianHate  #StopAAPIHate  #StopAsianHateCrimes  we need to push the Removal of #aleximccammond #teenvogue. Stop protecting #AntiAsianRacism #racists need to be shut down
#StopAsianHate
@Amy_Siskind #StopAsianHate
#StopAsianHate #StopAAPIHate https://t.co/JzXsxyXwP8
Continuously impressed by @19thnews reporting. Thoughtful. Thorough. Thank you. #StopAsianHate https://t.co/J8lvR694l5
Really wish people would spread #love more.. #StopAsianHate 🥺
"In the fall of 1990 we began the graduate program in Plant Biology at the University of North Carolina at Chapel Hill. On our first day we were shown around Coker Hall by a senior graduate student.
https://t.co/CFgHfBIZF4
#StPatricksDay
 #StopAsianHate"
#StopAsianHate https://t.co/ocUSVD3CqF
"Powerspike stands in support of the AAPI community.  #StopAsianHate

https://t.co/AQPh4TFlfu https://t.co/BEBmaz8FEN"
"Please save our community, our living, our people from these racially targeted hate crimes, discrimination, racism, xenophobia, stereotyping and hate. Stand with us not against us. #StopAsianHate

https://t.co/u4LKLnZpGj"
#StopAsianHate its kinda crazy the shit people have to deal with. love each other its easier 💚
"We are sickened by the blatant, violent, racist, misogynist hate crime that occured in Atlanta, GA...Asian-Americans are NOT infectious, they are NOT sex objects, and they ARE human. #StopAsianHate https://t.co/Og3z1UXNOb"
@evildorina #StopAsianHate
"Me da risa como la gente hace vira el #StopAsianHate cuando ellos son primeros que se atacan entre ellos con sus benditos estándares, por que pa tóxicos ellos..."
#StopAsianHate
#StopAsianHate
Stop Asian Hate✊🏻 #StopAsianHate
#StopAsianHate
@CarmsGuerra It does. Like seriously I know back then Covid was new but attributing it to a race was just so so wrong #StopAsianHate
"@Cnazh1 Please delete the picture of the card immediately we don't want more people to see, copy or reproduce it for the wrong purpose. You are also giving the artist/company that created it more publicity. Replace it instead with a good picture of BTS.
#RacismIsNotComedy #StopAsianHate https://t.co/nsjsLEgFDe"
@llamartist @auntieplant @LenacchiArt #StopAsianHate those loke beautiful
#StopAsianHate
"Reading more news, I'm really feeling for those Asian-Americans who can't have the peace of mind, feeling unsafe from violence *on top of* all other anxieties we're all already facing in America... It's despicable. We have to stick together on this!
#StopAsianHate #StopAAPIHate"
"I say this with all of my heart. If you are contributing silently or loudly to anti-asian hate, then you can go to hell.

#StopAsianHate"
"@jacksfilms @StopAAPIHate Wish I could donate, but I’m hoping stopping by the stream will be an okay alternative! #StopAsianHate"
"Disgusting. It's not Funny girl 😡
#StopAsianHate https://t.co/Yl8UbHwem5"
"@YonexAllEngland all england 2021 stop or boikot all england selamanya? @bwfmedia #StopAsianHate #AsiansAreHuman #BWFMustBeResponsible
#SaveINAAthletes
#SaveBadminton
#stopallengland2021"
#StopAsianHate  love to all my asians out there! Love you all! ❤️ https://t.co/aAhcfN1e4f
@MagnumPICBS ✊🏽🙏🏽 #StopAsianHate #StopAAPIHate #StopAsianHateCrimes
#StopAsianHate
"To all my family and friends living in the United States, please be careful especially during these unprecedented times.

#NOtoRacism 
#AsiansAreHumans
#StopAsianHate  
#StopAsianHateCrimes"
#StopAsianHate https://t.co/P6iFE7TQvq
"@WUTangKids ""Yesterday was a really bad day for him and this is what he did.""
So ppl killed innocent ppl from certain race cause they're fed up and it's just a bad day?
What kind of world do we live in?
#StopAsianHate 
#StopAsianHateCrimes"
#StopAsianHate
#StopAsianHate https://t.co/EvG9Kcf7Zz
"A reminder that #ACAB 
#StopAsianHate #StopAAPIHate https://t.co/pGG0vVfDy3"
#StopAsianHate https://t.co/aQIrhvl9e8
a caity apoiando o #StopAsianHate sério.. essa mulher é meu mundo https://t.co/gOt5yXURyP
"Chrissy Teigen, Eva Chen และ Awkwafina ออกมาร่วมรณรงค์ยุติความรุนแรงต่อชาวเอเชียผ่านแฮชแท็ก #StopAsianHate (https://t.co/SbmPDeyhYk)"
Some great resources if like me you want to learn more and do more. #StopAsianHate https://t.co/rCpF5aJ2yD
Doomscrolling. So far seen tens of pictures of the terrorist in Georgia. Similar numbers of the dumbest police dude defending a 'bad day'. Not one post about the victims. No photos. No names. Nothing. Just glorification of the terrorist. Absolutely disgusting 😤 #StopAsianHate
#StopAsianHate https://t.co/tRAmreB8iQ
You cannot be blind to the consequences of your words. I am beyond disgusted #StopAsianHate https://t.co/EmYM6OPGwX
"Every single one of us Asian Americans has our own stories of racism. This wasn’t the first racist thing done to me and it wasn’t the last. I’m tired and my heart bleeds for the families of of the victims.

#StopAsianHate"
#StopAsianHate
SHAME ON YOU BWF #StopAsianHate https://t.co/FKSlAh3fMf
It is utterly horrific what is and has been happening to the Asian community. Educate yourself and if you witness racism against Asian people call it out. #StopAsianHate https://t.co/BMs2rvAYAp
@RepJeffries #StopAsianHate
"@gtconway3dg @ElizabethKeeto5 Sadly, it's been like this for me and people who look like me, everyday in this country. 

#StopHate 
#StopAsianHate"
