Tweet Id,Text,Username,followers,listedcount,retweeted
1242236989509951489,"Why!! @ChinaDaily
You should just keep on with the Copy Copy and the Imitation of Products 
Is it by force to be an Originator? 
The only original product from you is Coro-Coro-Death the #ChinaVirus aka #CoronaVirus nicknamed COVID-19
#TakePrecautionaryMeasures
#WeAreWhoWeAre",KwadzoIAm,2517,2,
1242236920748539906,We now have something else to.hold against communism #ChinaVirus #ChinaLiedAndPeopleDied #bbcnews #skynews #itvnews #c4news #COVIDー19,Unionbuster,1305,148,
1242236883607879687,@BerilDeniz77 @s_hisar @hayrolayasemin @ayseucar5 @TurLdo @Bernado0707 @AdayEsat @Exodia313qwdtWx @sarukan13 @capulcu_ihtiyar Öyle mi dedi yoksa Ahmak mı dedi? #ChinaVirus,Elevitli,998,0,
1242236733393174530,"PREVENT [[D] party destruction] BY ANY MEANS NECESSARY.
These people are sick!
Nothing can stop what is coming.
Nothing.
Q

#QAnon #3897 #HowtoStealAnElection 
#COVIDー19 #ChinaVirus #DeepState #FalseFlag

https://t.co/XCHiJjiU1b",skyfall1776,720,3,
1242236712367120384,"WTF! No voter ID?  @SpeakerPelosi 
#COVIDー19 #NancyChokesWhilePeopleGoBroke #NancyPelosiRocks in the head instead of brains! #NancyPelosiHatesAmericans
#ChineseVirusCorona #ChinaVirus #WWG1WGA #QAnon #WeAreQ #JFKjr #JFK #corrupt https://t.co/G5maPaO63F",TheBauerPower44,8,0,
1242236679651389440,@SpeakerPelosi @HouseDemocrats Democrats squeezing in abortions and green deal nonsense when Americans need help! I wish the democrats would quit playing politics with our lives! #COVID19US #ChinaVirus,ShadyJ969,766,3,
1242236668746379264,"#ChinaVirus population 330m,1% death rate 3m,the elderly  &amp; underlying health conditions,death rate 8 to 16 thousand a day 6 months,army mass burials population after immunity established 327m or financially ruin 266m &amp; make USA a third world country? and open to attack",AsitIsCallingIO,4,0,
1242236435459121154,"PREVENT [[D] party destruction] BY ANY MEANS NECESSARY.
These people are sick!
Nothing can stop what is coming.
Nothing.
Q

#QAnon  #HowtoStealAnElection 
#COVIDー19 #ChinaVirus #DeepState #FalseFlag https://t.co/FZOTQAbX9X",skyfall1776,720,3,
1242236422263840768,@washingtonpost #ChinaVirus is your fav phrase if I remember correctly @realDonaldTrump #DontheCon,ChefAdolfo,2583,53,
1242236315611119626,This country is far more racist than it is political. There’s nothing political about calling this the #ChinaVirus. Trump is not a known politician he’s a known racist. The KKK has outlasted all political parties. We’ve elected 44 White men to office not b/c of their politics.,Big6domino,2498,94,
1242236227165859847,"@RitaPanahi Virus’ lives matter. I’m telling you, that’s next. #ChinaVirus",DimWittyNYC,408,3,
1242236212317913096,"@larsoer @GOPChairwoman @SenSchumer has enough 💰 money.
He doesn't need more greedy pay offs on this pork bill. He should
let the victims of the #ChinaVirus have their money Now!",crystal_night20,4259,94,
1242236095678631938,"@_patriotism_ @jdoriajr 
#globolixo
#Bandlixo
#Lulaladrão
#ChinaVirus
#SomosTodosBolsonaro
#DoriaeWitzelTraidores
#ForaGilmar
#Culturalixo",Maragleidea,45,0,
1242236077806624768,@CBSEveningNews @CBSNews I wonder who got to him? Did he have a moment of clarity? Of guilt? My guess is someone explained in 3 and 4 letter words he’s a fu€king racist and the #ChinaVirus might cost him the election.,taxesr4thepoor,229,0,
1242236015416348674,"@PaulExperience @ja_dee_jades They're barbaric, sick fcuking freaks. Trust me there will be repercussions when this #ChinaVirus  has run it's course of death and destruction.",hammerclevage,2380,26,
1242236008353026048,"WHO lied.

No, that's not a question.

#ChinaVirus",Lotus2021,886,8,
1242235932348166150,"China's martyred #coronavirus doctor poses problems for Beijing
https://t.co/PRoirWyszc
7 Feb 2020

#QUOTE China?s Supreme Court (said) Wuhan authorities should have listened to (his) warnings

#Disease #ChinaVirus #WuhanVirus #COVID19

qt-covid19news-007 by #BorderObserver",borderObserver,1660,12,
1242235918699974664,#chinavirus https://t.co/2UCFScBm0K,Renato32864580,0,0,
1242235697647497216,"@JackMarsman @WNiemegeers @vonderleyen @TimmermansEU Dus eerst infecteerde een communistisch China de wereld met het #ChinaVirus #COVID19 om dan vervolgens zijn bondgenoten in te schakelen in een reddingsactie ?
Communisme is de wortel van alle kwaad.
#CommunismKills #StopCommunisme #MakeChinaPay #ChinaLiedPeopleDied https://t.co/sxqP7nYIDo",LVVlaanderen,313,5,
1242235653259214856,#chinavirus https://t.co/vcQ5jxYfI2,Renato32864580,0,0,
1242235641028661260,@thehill I wonder who got to him? Did he have a moment of clarity? Of guilt? My guess is someone explained in 3 and 4 letter words he’s a fu€king racist and the #ChinaVirus might cost him the election.,taxesr4thepoor,229,0,
1242235556769259520,"@GordonGChang @1stculturetours The #ChinaVirus doesn't seem as deadly as it might be, however, virulence is astounding.If the virus was engineered there might be sort of ""rider"" we don't understand in that thing,an unknown purpose. The 
 important of the virus being unleashed on the pop. may not be understood https://t.co/9AulxKSK5q",IronrodTorrent,1253,1,
1242235521662889984,"fuck chinese..stupid assholes..they eat every single living insect/animal on earth.. and cause death to human beings...
#ChineseVirusCorona 
#ChinaVirus https://t.co/IBpPWG9tZ1",jkrishna007,374,0,
1242235477345947653,Tudo de ruim sai da  #ChinaVirus,Renato32864580,0,0,
1242235366561787904,"@CarlaZambelli38 @jairbolsonaro #globolixo
#Bandlixo
#Lulaladrão
#ChinaVirus
#SomosTodosBolsonaro
#DoriaeWitzelTraidores
#ForaGilmar
#Culturalixo",Maragleidea,45,0,
1242235240283811852,"@Clauwild1 #globolixo
#Bandlixo
#Lulaladrão
#ChinaVirus
#SomosTodosBolsonaro
#DoriaeWitzelTraidores
#ForaGilmar
#Culturalixo",Maragleidea,45,0,
1242235132939026432,@eugenegu @realDonaldTrump What the hell does the fact it is a China virus have to do with Chinese Americans ? The Left demands EVERYTHING is about race . #SpainishFlu #GermanMeasles #ChinaVirus #AmericanHamburgers #GetOverIt,donwarr65153070,1,0,
1242235041217941507,#trumpworstpresidentever #COVIDー19 #ChinaVirus trump cannot read at an 8th grade level! He managed a staffer’s call for nondiscrimination against Asians. Reading “his” speech he stumbled on “scourge”. The idiot read “skōrge”!#TrumpPressConference,RyanSternMD,165,2,
1242235033768902656,"@Biakicis #globolixo
#Bandlixo
#Lulaladrão
#ChinaVirus
#SomosTodosBolsonaro
#DoriaeWitzelTraidores
#ForaGilmar
#Culturalixo",Maragleidea,45,0,
1242235011237117956,@realDonaldTrump Then don't say #ChineseVirus. Say #ChinaVirus,CausticSkeptic,1287,4,
1242235008963588097,"#ChinaVirus 
#BiologicalWeapon 
#China_is_terrorist https://t.co/v5fGyq0GKP",karasudo19,3258,61,
1242234992807247872,"@Chefcarolinavi1 #globolixo
#Bandlixo
#Lulaladrão
#ChinaVirus
#SomosTodosBolsonaro
#DoriaeWitzelTraidores
#ForaGilmar
#Culturalixo",Maragleidea,45,0,
1242234922963734531,"@conexaopolitica #globolixo
#Bandlixo
#Lulaladrão
#ChinaVirus
#SomosTodosBolsonaro
#DoriaeWitzelTraidores
#ForaGilmar
#Culturalixo",Maragleidea,45,0,
1242234811709902848,"@HumbertoReisJr #globolixo
#Bandlixo
#Lulaladrão
#ChinaVirus
#SomosTodosBolsonaro
#DoriaeWitzelTraidores
#ForaGilmar
#Culturalixo",Maragleidea,45,0,
1242234810527088646,"@ABC So helpful to have a @POTUS that provides straight talk on the MASSIVE public/private effort that is ongoing to win the war on the #ChinaVirus. Unlike the Corrupt Media, the Prez insists the USA can fight the virus and be functional at the same time. #Trump2020Landslide",PieretteQuinto,195,1,
1242234787932205059,@CheruiyotErick @realDonaldTrump #ChinaVirus #ChinaStopsLying #WuhanVirus,Judith_189,212,11,
1242234776188342275,@GOP @realDonaldTrump I wonder who got to him? Did he have a moment of clarity? Of guilt? My guess is someone explained in 3 and 4 letter words he’s a fu€king racist and the #ChinaVirus might cost him the election.,taxesr4thepoor,229,0,
1242234743938318338,"The CHINA virus! 
#COVIDー19 #WWG1WGA #QAnon #WeAreQ #ChinaVirus #JFK #JFKjr https://t.co/2T6mdKAVu5",TheBauerPower44,8,0,
1242234606331604995,"&gt;Push [D] ‘wish list’ [unrelated] items CV Bill [voting amends]?
Q

#QAnon #3896 #HowtoStealAnElection 
#COVIDー19 #ChinaVirus #DeepState #FalseFlag

https://t.co/Pp4eCoWMos",skyfall1776,720,3,
1242234142701600768,"&gt;Push new/revised P_2020 &gt; vote by mail? [unsecure]
Q

#QAnon #3896
#COVIDー19 #ChinaVirus #DeepState #FalseFlag

https://t.co/KCGhcGRtOd",skyfall1776,720,3,
1242234133608370176,Please read this thread from Senator Cotton. It explains what @SpeakerPelosi and the #Democrats #Liberals #Socialists in the House wanted to add into the Bill that should only be for items related to the #ChinaVirus.  #VoteRedToSaveAmerica2020 https://t.co/el1n7jnyB9,karenlmw,5614,4,
1242234089152729088,@realDonaldTrump Suddenly all Asians are “Chinese”. #CCP has conquered the Asia without a single bullet but #WuhanVirus #ChinaVirus. #ChinaLiedPeopleDied #COVID19,HongKongNeedU,21,0,
1242233882419707904,@SenHawleyPress #ChinaVirus,DerekFisherman2,34,0,
1242233844989857792,@maggieNYT @DNC wants EARMARKS! They don't care about AMERICANS hurt by the #CCPVirus better known as the #ChinaVirus. THEY only CARE ABOUT THEMSELVES! Sad but true - are they the #DNCCommunistParty,sjpcfp,49,2,
1242233616974983169,"[rapid spread]

#QAnon #3896
#COVIDー19 #ChinaVirus #DeepState #FalseFlag

https://t.co/UZMDy8EL4a",skyfall1776,720,3,
1242233547546660864,@realDonaldTrump It is your fault you’re #TrumpSupporters got hostile. #ChinaVirus,max_t_witter_n,75,2,
1242233436313538560,"Stay home 
Put on mask when outdoor
Save NHS
#nhsuk #WuhanVirus #ChinaVirus",apollo13hk,50,1,
1242233371058552832,"Note: during #PressConference, @POTUS is now using #InvisibleScourge instead of #ChinaVirus; #DrFauci missing https://t.co/LPcdTupWWp",mercifuln8,1338,15,
1242233262682054658,"“Lieber became a “Strategic Scientist” at [Wuhan] University of Technology (WUT) in China and was a contractual participant in China’s [...] from in or about 2012 to 2017.”
[rapid spread]

#QAnon #3896
#COVIDー19 #ChinaVirus #DeepState #FalseFlag

https://t.co/RWq1qiN8lr",skyfall1776,720,3,
1242232936541405185,@realDonaldTrump Thank you Mr. President! #AsianAmericans know you meant no harm by calling the bug what it is #ChinaVirus #ChineseVirus #WuhanVirus the Chinese commies need to be called out for their duplicity. I’ve only seen racist attacks on #AsianAmericans by #Liberals and #Dems #MAGA2020 🇺🇸,Maharajput888,48,0,
1242232872234344448,#ChinaVirus The National Guard has been called out to enforce physical isolation in New York among other cities https://t.co/8J6DRqj42p,seshanm,890,11,
1242232855457148928,"@UOLNoticias ☣ Como tem muita gente de ignorância extrema devido ao EsquerdaVírus da burrice: Em suma, o estrago do ""fique em casa show"" vai causar muito mais mortes do que o próprio #ChinaVirus.

Vc pode guardar sua falsa virtuosidade para depois! 😉",thiago7cv,361,4,
1242232604121653249,#ChinaVirus 😷 https://t.co/22LyzusFoS,APKJM,2847,20,
1242232539051446274,"👍 ... auch dafür, dass Sie klar und trotzdem moderat in Ihrer Antwort waren. 
Lassen Sie sich bitte nicht durch solche völlig system-irrelevanten Individuen von Ihrer Arbeit abhalten. #Danke!
#CorronaVirus #ChinaVirus https://t.co/hf8D1Slt8K",FritziM1,43,3,
1242232513780764674,"#TrumpVirus #COVID19 Finally trump’s written speech inserted an insincere “apology” to Asian Americans for his repeated use of “the Chinese Virus” #ChinaVirus . But trump cannot read at an 8th grade level! When he stumbled on “scourge”, trump read “skōrge! https://t.co/5YIsRhvGDg",RyanSternMD,165,2,
1242232455375060992,"Edouard Philippe : « Le temps du confinement peut durer encore quelques semaines »

https://t.co/OfWvQxzHUJ

#ChinaLiedPeopleDied
#CoronavirusFrance #CODVID19italia
#Coronavirus #COVID19 #Covid_19
#WuhanVirus #CornavirusOutbreak
#武漢肺炎 #ChinaVirus",kimimarmotte,1176,3,
1242232344863440897,@AhlakManeviyat #Italia #ChinaVirus #ameriva #Fransa #şiir #şiirsokta https://t.co/r4l7WYun6n,diyar362,240,0,
1242232331752128514,"@TIME #TrumpVirus #COVID19 Finally trump’s written speech inserted an insincere “apology” to Asian Americans for his repeated use of “the Chinese Virus” #ChinaVirus . But trump cannot read at an 8th grade level! When he stumbled on “scourge”, trump read “skōrge!",RyanSternMD,165,2,
1242232283622506498,"Q sent me this.
#Q #QSentMe #QArmy #ChinaVirus https://t.co/WI142BkYNK",followQ17,619,0,
1242232275464376321,"“One Belt, One Road, One #Pandemic: Are #China &amp; #WHO accountable for spreading the Novel #coronavirus across the world?” #COVIDー19 #coronavirusindia #ChineseVirus #ChinaLiedAndPeopleDied #ChinaLiesPeopleDie #KungFluVirus #ChinaVirus https://t.co/vc4aWB8XGN",LowCarbLyfStyle,6680,77,
1242232180744617984,"To paraphrase the UK's most senior advisor.... If you just allow unchecked stupidity to burn all reason, eventually the facts will shine through. And if in the meantime a few million people die...so be it #china #BanBearBileFarming #ChinaLiedPeopleDied #ChinaVirus https://t.co/X1Djf87m1D",tina_ppd,164,2,
1242232177527590919,"@davidfrum More like Chuck n Nancy decided to add environmental and union worker demands. Tax rebates for solar and wind farms, stronger negotiating rights for unions, emissions restrictions for airlines.  Sounds more green new deal than coronavirus #ChinaVirus #LiberalismIsAMentalDisorder",therealb6000,317,2,
1242232151325761536,"#ChinaVirus 
https://t.co/6qXUL8utlG",seshanm,890,11,
1242232103015677952,"“the CHINA virus”
Worth remembering:

#QAnon #3896
#COVIDー19 #ChinaVirus #DeepState #FalseFlag 

https://t.co/y8nCbjRG9o",skyfall1776,720,3,
1242231919590494208,"it's sad that i actually received a comment like this. i posted these on instagram and i had to speak up. remember, viruses don't have a race and/or nationality :) #COVID19 ""#ChinaVirus"" https://t.co/R84x1KiNnt",katiecreech22,138,1,
1242231722772697088,"My #QAnon thread for 3.23.20 

Occam's razor simply states that of any given set of explanations for an event occurring, the simplest one is most likely the correct one. 
Q

#COVIDー19 #ChinaVirus #DeepState #FalseFlag https://t.co/07LQDMuJAw",skyfall1776,720,3,
1242231662844563460,"@DrDenaGrayson @realDonaldTrump Did the President, or anyone on the #Chinavirus task force, suggest people drink chemicals intended for their fish tank?

You are making this pandemic worse by spreading falsehoods, Dr. 

#FirstDoNoHarm",RWReagan1,8560,32,
1242231610721722368,#ChinaVirus #ChinaLiedAndPeopleDied https://t.co/xEDSFUlMaf,InoueMeinar,118,1,
1242231466974679042,"@kristinasworlds @RandPaul The #ChinaVirus made in China #WuhanVirus by #ChinaLiedPeopleDied 
I wonder what kind of #communist you are that you hate your country so much you would betray it.
Or is it a matter of having no balls to stand up to #China 
Which is it ?
Hate your country ?
Wanna trade places ? https://t.co/psAac4i6Pm",LVVlaanderen,313,5,
1242231402877206528,If you think in a month or so farmers won't be seeding because of #ChinaVirus you don't know anything,Big_Game_Shane,240,1,
1242231270215688193,"Q sent me this.
#Q #QSentMe #QArmy #COVID19 #ChinaVirus https://t.co/KIAWoGge6X",followQ17,619,0,
1242231247818174465,@ConsulChinaRJ @CGChinaLiYang #chinavirus toda desgraça que acontece no mundo sai da cHINA nada de bom sai desse pais https://t.co/b1ICCvXqmI,Renato32864580,0,0,
1242231183100043264,"@DrTedros @realDonaldTrump All this blood is on ur hands. If no action comes on #CCP #COMMIE #THUGS n on China aftr all this shitshow. I will be very disappointed on human race n we dont deserve to live on this planet. Also, @WHO should declared as #WAR #CRIMINALS. #ChineseWuhanVirus #ChinaVirus #CCPVirus https://t.co/OtBbtgSXn2",NomadTraveler_,550,6,
1242231136530636800,"#SanAntonio goes into lockdown! Everyone stays home,  with exception to exempted and essential services. Effective Tuesday, 11:59 PM!

#COVID19
#Coronavirus 
#ChinaVirus 
#lockdown https://t.co/K2OH9MAVOI",TejasKat,2444,146,
1242231067852959745,"@UNNTV1 Rampant cruelty, torture to animal caused #ChinaVirus and other disease",Heripandu12Heri,412,1,
1242231053965803525,"@NickWohlleb @GOPChairwoman Oh haha greedy democrats want yo give more 💰 money to their lobbyists and donors. So they hold up a bill for #ChinaVirus victims.
 
Things that have nothing to do with VIRUS.",crystal_night20,4259,94,
1242230934210072576,"@ABC He is just as accurate today as he was when he called the virus aptly, #ChinaVirus",HaikuTakes,1524,0,
1242230901569921025,"A friend sent me evidence of Advance #Corona Research

Just sharing. :)

#Disease #CoronaVirus #WuhanVirus #COVID19 #ChinaVirus

#QuikTake qt-covid19-052 by #BorderObserver https://t.co/fipDvy5GSd",JessePolitic650,199,12,
1242230887057686534,@JeffreyGuterman @realDonaldTrump But it is a #ChinaVirus,SAS770511,732,0,
1242230779482116096,About time to boycott China #ChinaVirus,g_tminus1,388,5,
1242230776323866626,@DanielHeim26 @LiloVLOG @loGABRlELinHeLL Agora vira potência mundial. Se cuida #ChinaVirus,MundimWiliam,364,1,
1242230725035819009,"@jairmearrependi @eddybergger O Olavo de Carvalho está certo. Todos os anos morrem MILHARES de pessoas com gripe, principalmente idosos. Para termos a certeza que as mortes atuais são devidas ao #ChinaVirus deve-se fazer uma autópsia. Isso chama-se CIÊNCIA.

#OlavoDeCarvalhoEstaCerto @OdeCarvalho",_bestdigital,356,12,
1242230668077207560,"#ChinaVirus #ChineseDisease #ChineseWuhanVirus The reality is lock downs won’t work, you either get a vaccine or you get immunity, most under 60s will be fine, elderly and sick not so,well do you throw everyone under the financial bus,liars are those that sugar coat the choices https://t.co/9zPbEYa1Fq",AsitIsCallingIO,4,0,
1242230665132699650,"@azsportsguy @MamaPaige81 @ABC So you believe we should shut down our freeways for a week? In fact, forever.

Because many times more people die in car crashes EACH YEAR than will ever die of #ChinaVirus.

Perspective, it's a difficult skill.",Curmudgeon1836,3692,16,
1242230661135708164,"En 🇨🇴 el balance de las decisiones de fortalecer o ablandar las medidas de cuarentena, no solo debe sopesar el daño económico vs. las muertes del virus; sino que hay que incorporar una tercera amenaza: la violencia intrafamiliar.

#ChinaVirus #WuhanVirus #WuhanCoronaVirus",disisrick,3297,0,
1242230627631431682,"@yufukiyusef @SenTomCotton @SpeakerPelosi The #SARS_COV_2  designed, manufactured and released in Wuhan, CHINA! Engineered with features of HIV and SARS. 
 #ChineseWuhanVirus #WuhanVirus  #ChinaVirus ?
Whether we call it a Chevy or a Ford or a snapping turtle.. it's still the #chinaVirusMadeInChina",GrimmRoy,2350,18,
1242230504046366720,Haha 😆 Trump is hilarious! Love when throws digs at the nasty press!😂😆😭#PressConfetence #ChinaVirus,Jillibean557,46627,93,
1242230175858855938,"To #racist​s bashing #Asians for #coronavirus: when you 
do get #COVID19, you know your #doctor's going to be Asian, right?  #KungFlu #ChinaVirus @JoeWongComedy @JLin7 #DoctorsSpeakUp",poo_blius,6,3,
1242230144812625925,"@kristinasworlds @realDonaldTrump Well we did not attack the Spanish for the #SpanishFlew or the Mexicans for the #MexicanFlew 
So, Why would we attack Chinese people for the #ChinaVirus #COVID19 ?
But I do agree that China's CCP should take responsibility in the cover up.
#MakeChinaPay #ChinaLiedPeopleDied",LVVlaanderen,313,5,
1242229816914522112,@charliekirk11 @ArthurSchwartz @sfpelosi @SpeakerPelosi #DemocratsHateAmerica #DemocratsAreDangerous #DemocratsAreEvil #WakeUpAmerica #StopTheHate #StopTheInsanity #EndTheCorruption #DumpTheDems #WalkAway #AmericaFirst #CountryOverParty #COVID19 #coronavirus #ChinaVirus,DavidWeingust,1333,131,
1242229771515367425,"Deus seja louvado 🙏🙏🙏
#ChinaVirus #Cloroquina
@jairbolsonaro @minsaude @anvisa_oficial @lhmandetta https://t.co/HDwjUZcCPk",Welling89325818,2361,3,
1242229699096477699,Como Seria Essa Pandemia De #CoronaVirus #ChinaVirus Se Fosse o PT No Governo https://t.co/AQqIlXrIAe,Real_ZeRuela,11467,221,
1242229630653718528,チャイナで抵抗運動が始まっているとの事。#ChinaLiedAndPeopleDied #ChinaVirus #ENDofXiJingping #HoldChinaAccountable #EnoughWithLiesChina https://t.co/exaJ2PxAPH,cherrypeach619,3325,19,
1242229384267698177,@janice191 @MatthewJshow @SkyNews #ChinaVirus,Mrdamag3_81,174,0,
1242229312817737730,#sorrynotsorry #coronavirus #COVID19 #COVIDー19 #ChineseVirus #ChinaVirus #PeopleDisappointMe https://t.co/qmahdw5OvV,TartPolitical,17,0,
1242229307222773761,"Where's your medical shingle hanging, hack?

#Enemedia Enemies of the American People

#ChinaVirus #SARSCoV2 #WuhanCoronaVirus #COVID19 

@PressSec
@Scavino45 
@realDonaldTrump https://t.co/qtzgXsUEUh",DavidPDuffy25,1014,2,
1242229282262433792,@_WilliamsonBen @SpeakerPelosi @DNC do not CARE ABOUT AMERICANS They want a BILL with NON VIRUS Earmarks! THEY want YOU to destroy your Country! If so #DNCCommunism is your FUTURE! #WakeUpAmerica #DNCObstructionism who deny the #ChinaVirus or #CCPVirus is WHAT YOU'RE DEALING WITH!,sjpcfp,49,2,
1242229183046127616,@eugenegu @realDonaldTrump One would think a medical doctor would understand actively covering up the severity and scope of the problem is unethical and puts millions of people directly in harm's way.  Not to mention the BS Chinese propagandists saying the US military gave the virus to them. #ChinaVirus,D3mon1351,59,0,
1242229175454482432,"Here is the full comprehensive story of how China covered up the #Coronavirus.

China is now spreading FAKE NEWS that the virus started in the U.S. 

This is why it is important that we call it the #ChinaVirus!

https://t.co/bVaD5bxL1V",TheScoopUS,27149,77,
1242229119250829314,"@jdawsey1 @weijia He's calling it the ""China virus"" BECAUSE IT CAME FROM CHINA.#CoronavirusOutbreak. #ChinaVirus #China https://t.co/FxpozQv3C5",BigAlOnTheProwl,238,10,
