Tweet Id,Text,Username,followers,listedcount,retweeted
1371607526840659971,"#StopAsianHate #StopAsianHateCrimes
https://t.co/G2VBJ6oFWQ
#NoSleepTillBrooklyn

@rontkim @yuhline @CM_MargaretChin @galeabrewer @CeFaanKim @Syissle @AndrewYang @CoreyinNYC  @JumaaneWilliams @LisaEvers @MarkLevineNYC @joetsai1999 @AAFederation @ahujie @TrippyYang @ErickaMcLeod https://t.co/644IKm2bx3",BeastieSquare,772,4,
1371607239904034818,"Nobody can stop @JoeBiden @FLOTUS ! #vaccine now !

#DebHaaland makes history as first #NativeAmerican person to serve in presidential #cabinet after #Senate confirmation 

#StopAsianHate #YangGang #UBI

https://t.co/Dzqq1q64Ec 來自 @usatoday",humen543,1534,8,
1371606249574305795,"A big thank you to the entire community for supporting our #StopAsianHate campaign so far. We’ve made incredible progress both in terms of $$ raised and awareness spread.  

Track our progress here: https://t.co/bcf5khwADx https://t.co/akJK6Y7SK1",jemi_hq,521,7,
1371605711227129856,I'm sad. #StopAsianHate https://t.co/zZJkfwZDUb,strykr126,632,5,
1371604309918380034,@BigBosSebas @rayvolpe nice we talking about #stopasianhate rn,notesfortroy,172,0,
1371604293422256129,#StopAsianHate #StopAsianHateCrimes https://t.co/KvSlX9UYnv,Miguel61416403,12,0,
1371603031410708481,#BlackLivesMatter #StopAsianHate,HateBeingFroyo,952,5,
1371601648485765120,"#BLM
#BlackLivesMatter
#StopAsianHate
#StopAsianHateCrimes",garciagerard320,416,2,
1371600840209920006,#StopAsianHate https://t.co/FYpflYrwpB,pop_popculture,925,91,
1371600447862018048,"@CeFaanKim @Syissle @JoshHartmann Is this US really declining ? Where is the multi cultures that make US strong. Why hate without any thinking. #StopAsianHate  we are all human. Remember that !!! , they are American as same like you.",Aumnovi1,191,1,
1371599322253516802,@CeFaanKim @Syissle @JoshHartmann Thank you  @CeFaanKim for the reporting. #StopAsianHate #StopAsianHateCrimes,BaekBruce,65,0,
1371599104514613249,#StopAsianHate,gaa417,2174,5,
1371598684312457219,Remember their faces. Remember their names. #StopAsianHate https://t.co/b5Popk41om,dotorii_muk,5291,26,
1371598575663259654,Being Asian: Four New Yorkers Reflect On What It Means To Be Asian In The City Now https://t.co/ntk5vY5s8T via @gothamist #SpreadTheWord #CheckItOut #PassItOn #StopAsianHate RT,Kamta_Gee,290,9,
